,State,Sub-categories,Tool,Tool Name,Variables,Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data
0,Alabama,Insurance,Table,"health insurance coverage, by state 1999 to 2011","all people, not covered, covered by private or government health insurance; private health insurance - total, employment-based, direct purchase; government health insurance - total, medicaid, medicare, military health care	
	",State,CPS,,N,N,,2011.0,Y
1,Alabama,Educational Attainment,Table,"estimates of educational attainment of the population 25 years old and older for counties in alabama, 2009-2013","percent high school graduate or higher, percent bachelor's degree or higher, moe",County,ACS,,N,N,,2013.0,N
2,Alabama,Educational Attainment,Data View/Download,"estimates of educational attainment of the population 25 years old and older for cities and towns in alabama, 2009-2013","percent high school graduate or higher, percent bachelor's degree or higher, moe","City/Town, Census designated place",ACS,,N,N,,2013.0,N
3,Alabama,Physicians,Data View/Download,physicians by county of licensure in alabama: may 2010,total in-state doctors,County,,Alabama Medical Licensure Commission,N,N,,2010.0,N
4,Alabama,Insurance,Data View/Download,health insurance coverage status by age for counties in alabama: 2009 acs-update,"female, male; under 6 years, 6 to 17 years, 18 to 24 years, 25 to 34 years, 35 to 44 years, 45 to 54 years, 55 to 64 years, 65 to 74 years, 75 years and over; with health insurance coverage, no health insurance coverage; estimate, moe",County,ACS,,N,N,,2009.0,N
5,Alabama,Insurance,Data View/Download,health insurance coverage status and type of coverage in alabama: 1999-2010,"all people, not covered, covered by private or government health insurance; private health insurance - total, employment-based, direct purchase; government health insurance - total, medicaid, medicare, military health care	
	",State,CPS,,N,N,,2011.0,Y
6,Alabama,Insurance,Data View/Download,health insurance coverage status and type of coverage by state and age for all people: 2010,"all persons, under 65 years, under 18 years, 65 years and over; covered by some type of health insurance, covered by private health insurance, covered by government health insurance, covered by medicaid, covered by medicare",State,CPS,,N,N,,2011.0,N
7,Alabama,Insurance,Data View/Download,health insurance coverage status by state for all people: 2010,"total population (estimate), covered, not covered",State,CPS,,N,N,,2011.0,N
8,Alabama,Insurance,Data View/Download,health insurance coverage status and type of coverage by county and age: 2009,"uninsured, demographic group for all income levels",County,Small Area Health Insurance Estimates ,,N,N,,2009.0,N
9,Alabama,Insurance,Data View/Download,"small area health insurance estimates for alabama counties, 2010","total, uninsured, insured","State, County",Small Area Health Insurance Estimates ,,N,N,,2010.0,N
10,Alabama,Insurance,Data View/Download,"small area health insurance estimates for states, 2010","total, uninsured, insured",State,Small Area Health Insurance Estimates ,,N,N,,2010.0,N
11,Alabama,Educational Attainment,Data View/Download,alabama counties level of educational attainment 2006-2010,"male, female, no schooling completed, nursery to 4th grade, 5th and 6th grade, 7th and 8th grade, 9th grade, 10th grade, 11th grade, 12th grade (no diploma), high school graduate/ged, some college, associate's degree, bachelor's degree, master's degree, professional school degree, doctorate degree; high school or equivalent, associate's, bachelor's degree or higher","State, County",ACS,,N,N,,,
12,Alabama,School Districts,Data View/Download,"poverty estimates for alabama school districts, 2014","name, estimated total population, estimated population 5-17, estimated number of relevant children 5 to 17 years old in poverty who are related to the householder",School District,Small Area Income and Poverty Estimates ,,N,N,,2015.0,N
13,Alabama,Education Estimates,Data View/Download,"median earnings by educational attainement for the us and alabama, 2021","less than high school graduate, high school graduate, some college or associate's degree, bachelor's degree, graduate or professional degree; male, female, total; us estimate, alabama estimate",State,ACS,,N,N,,2021.0,N
14,Alaska,School Districts,Data View/Download,"school districts, 2020 to 2022","census total (april 2020), estimate (july 2021, july 2022)",School District,Decennial Census,Department of Labor and Workforce Development,N,N,,2020.0,N
15,Alaska,School Districts,Map/Report,alaska school districts,"district boundary, highway, road, cdp, city, borough/ca",School District,Decennial Census,Alaska Department of Labor and Workforce Development,N,N,,2010.0,N
16,Alaska,Incidence Rates,Data Download,incidence rates of injuries and illnesses by selected industries,"industry; total recordable cases; cases with days away from work, job restriction, or restriction; other recordable cases",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
17,Alaska,Incidence Rates,Data Download,numbers of injuries and illnesses by selected industries,"industry; total recordable cases; cases with days away from work, job restriction, or restriction; other recordable cases",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
18,Alaska,Incidence Rates,Data Download,incidence rates of injuries and illnesses by industry sector and employment size,"industry sector, all establishments, establishment employment size",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
19,Alaska,Incidence Rates,Data Download,incidence rates and number of injuries by selected industries,"industry, incidence rates, numbers (in thousands)",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
20,Alaska,Incidence Rates,Data Download,incidence rates and number of illnesses by industry sector and category of illness,"industry sector, total cases, skin disorders, respiratory conditions, poisonings, hearing loss, all other illnesses",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
21,Alaska,Incidence Rates,Data Download,incidence rates of injuries and illnesses by industry,"industry; total recordable cases; cases with days away from work, job restriction, or restriction; other recordable cases",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
22,Alaska,Incidence Rates,Data Download,numbers of injuries and illnesses by industry,"industry; total recordable cases; cases with days away from work, job restriction, or restriction; other recordable cases",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
23,Alaska,Incidence Rates,Data Download,incidence rates of illnesses by industry,"industry, total cases, skin disorders, respiratory conditions, poisonings, hearing loss, all other illnesses",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
24,Alaska,Incidence Rates,Data Download,numbers of illnesses by industry,"industry, total cases, skin disorders, respiratory conditions, poisonings, hearing loss, all other illnesses",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
25,Alaska,Incidence Rates,Data Download,incidence rates and number of injuries by industry,"industry, incidence rates, number of cases (thousands), percent relative standard errors",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
26,Alaska,Incidence Rates,Data Download,incidence rates of injuries and illnesses by industry sector,"industry sector; total recordable cases; cases with days away from work, job transfer, or restriction",State,,"Bureau of Labor Statistics, Department of Labor, Survey of Occupational Injuries and Illnesses",N,N,,2021.0,N
27,Alaska,Incidence Rates,Data Visualization,"incidence rates per 100 full-time workers of nonfatal occupational injuries and illnesses, 2021","private industry; goods-producing; natural resources and mining; construction; manufacturing; service-producing; trade, transportation, and utilities; information; finance, insurance, and real estate; professional and business services; educational and health services; leisure, entertainment, and hospitality; other services (except public admin)",State,,"Department of Labor, Bureau of Labor Statistics",N,N,As released,2021.0,N
28,Arizona,Educational Attainment,Data Visualization,population by education,"less than high school graduate, high school graduate, some college or associate's degree, bachelor's degree, graduate or professional degree","State, County, City",ACS,,N,N,As released,2020.0,Y
