,State,Sub-categories,Tool,Tool Name,Variables,Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data
0,alabama,estimates,table download,2020 to 2022 county housing units,"estimates base, housing unit estimate, change","state, county",decennial census,university of alabama center for business and economic research,n,n,as released,2020,n
1,alabama,estimates,table download,2010 to 2020 county housing unit estimates,"census, estimates base, housing unit estimate, change","state, county",decennial census,university of alabama center for business and economic research,n,n,as released,2010,n
2,alaska,housing prices,data visualization,"average sales price for single-family home, alaska 1992 to 2022","average sales price, inflation adjusted sales price",state,n,"department of labor and workforce development, housing finance corporation ",n,n,annual,2022,y
3,alaska,housing prices,data visualization,annual housing interest rates 1992 to 2022,annual interest rates,state,n,"department of labor and workforce development, housing finance corporation ",n,n,annual,2022,y
4,alaska,foreclosures,data visualization,"foreclosures, alaska 1980 to 2022",foreclosures ,state,n,"department of labor and workforce development, housing finance corporation ",n,n,annual,2022,y
5,alaska,housing prices,data visualization,"alaska affordability index, alaska 1992 to 2022",affordability index,state,n,"department of labor and workforce development, housing finance corporation ",n,n,annual,2022,y
6,alaska,housing units,data visualization,"new housing units, alaska 1992 to 2022",new units,state,n,"department of labor and workforce development, housing finance corporation ",n,n,annual,2022,y
7,alaska,housing prices,data visualization,"refinancing activity for single-family homes, alaska 2006 to 2022",refinancing activity,state,n,"department of labor and workforce development, housing finance corporation ",n,n,annual,2022,y
8,alaska,housing prices,table download,single-family alaska loan activity by area,"quarter, num of loans, avg loan, total loans, % loan volume, avg sales price, total sales vol, % market value",city,n,n,n,n,annual,2022,y
9,alaska,housing prices,table download,condominium alaska loan activity by area,"quarter, num of loans, avg loan, total loans, % loan volume, avg sales price, total sales vol, % market value",city,n,n,n,n,annual,2022,y
10,alaska,housing prices,table download,multi-family alaska loan activity by area,"quarter, num of loans, avg loan, total loans, % loan volume, avg sales price, total sales vol, % market value",city,n,n,n,n,annual,2022,y
11,alaska,housing units,table download,alaska new housing units,"total new units, single-family, multi-family, mobile home",census area,n,n,n,n,annual,2022,y
